Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,ASR (World),Crude rate,Cumulative risk
LCA,23,662,662,Saint Lucia,2,11,-,-,8.3,12.1,0.96
STP,23,678,678,Sao Tome and Principe,2,7,-,-,9.5,5.9,1.2
SAU,23,682,682,Saudi Arabia,2,65,-,-,0.67,0.48,0.08
SEN,23,686,686,Senegal,2,1362,-,-,23.1,15.0,2.7
SRB,23,688,688,Serbia,2,459,-,-,6.5,13.0,0.73
SLE,23,694,694,Sierra Leone,2,439,-,-,16.1,10.1,1.9
SGP,23,702,702,Singapore,2,113,-,-,2.3,4.0,0.25
SVK,23,703,703,Slovakia,2,248,-,-,4.6,8.8,0.52
VNM,23,704,704,Viet Nam,2,4110,-,-,6.1,8.0,0.70
SVN,23,705,705,Slovenia,2,58,-,-,2.2,5.5,0.22
SOM,23,706,706,Somalia,2,665,-,-,13.9,7.0,1.6
ZAF,23,710,710,South Africa,2,5165,-,-,14.4,15.7,1.6
ZWE,23,716,716,Zimbabwe,2,3118,-,-,54.9,35.8,5.9
ESP,23,724,724,Spain,2,893,-,-,1.7,3.7,0.18
SSD,23,728,728,South Sudan,2,554,-,-,13.6,9.1,1.6
SDN,23,729,729,Sudan,2,1125,-,-,7.5,4.4,0.89
SUR,23,740,740,Suriname,2,45,-,-,11.9,14.2,1.4
SWZ,23,748,748,Eswatini,2,235,-,-,44.3,37.2,4.4
SWE,23,752,752,Sweden,2,256,-,-,2.0,4.9,0.22
CHE,23,756,756,Switzerland,2,109,-,-,1.1,2.4,0.11
SYR,23,760,760,Syrian Arab Republic,2,213,-,-,2.1,1.7,0.24
TJK,23,762,762,Tajikistan,2,244,-,-,5.7,4.5,0.59
THA,23,764,764,Thailand,2,3717,-,-,6.0,10.1,0.67
TGO,23,768,768,Togo,2,452,-,-,15.1,9.6,1.7
TTO,23,780,780,Trinidad and Tobago,2,112,-,-,9.0,14.7,0.92
ARE,23,784,784,United Arab Emirates,2,72,-,-,2.1,1.8,0.23
TUN,23,788,788,Tunisia,2,155,-,-,1.9,2.5,0.22
TUR,23,792,792,Türkiye,2,1003,-,-,1.7,2.3,0.20
TKM,23,795,795,Turkmenistan,2,217,-,-,5.6,5.7,0.61
UGA,23,800,800,Uganda,2,3000,-,-,23.1,11.9,2.5
UKR,23,804,804,Ukraine,2,2058,-,-,5.9,10.2,0.64
MKD,23,807,807,North Macedonia,2,74,-,-,4.6,7.9,0.49
EGY,23,818,818,Egypt,2,578,-,-,1.1,1.0,0.14
GBR,23,826,826,United Kingdom,2,1107,-,-,1.8,3.2,0.18
TZA,23,834,834,"Tanzania, United Republic of",2,3011,-,-,15.3,8.7,1.8
USA,23,840,840,United States of America,2,5037,-,-,1.8,2.9,0.19
BFA,23,854,854,Burkina Faso,2,776,-,-,11.5,6.6,1.4
URY,23,858,858,Uruguay,2,162,-,-,5.9,9.3,0.65
UZB,23,860,860,Uzbekistan,2,1733,-,-,9.5,9.6,1.1
VEN,23,862,862,Venezuela,2,2138,-,-,11.6,14.9,1.2
WSM,23,882,882,Samoa,2,2,-,-,2.2,1.9,0.28
YEM,23,887,887,Yemen,2,203,-,-,1.9,1.0,0.22
ZMB,23,894,894,Zambia,2,2769,-,-,45.4,25.7,5.0
,,,,Total,,279432,,,5.5,6.9,0.61
