Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR
MMR,Myanmar,4905,15.2,17.9,1.8,3032,9.4,11.1,1.1,0.618
BRB,Barbados,34,15.2,23.1,1.6,20,6.9,13.6,0.67,0.454
MEX,Mexico,11919,15.1,17.7,1.5,4967,6.1,7.4,0.64,0.404
KGZ,Kyrgyzstan,538,14.9,14.8,1.6,291,8.1,8.0,0.91,0.544
GUM,Guam,15,14.1,18.1,1.4,8,6.3,9.7,0.71,0.447
SVK,Slovakia,608,13.9,21.6,1.4,248,4.6,8.8,0.52,0.331
KHM,Cambodia,1252,13.8,13.9,1.5,763,8.4,8.5,0.96,0.609
PHL,Philippines,7829,13.8,13.5,1.5,3389,6.0,5.8,0.65,0.435
COL,Colombia,4738,13.8,17.7,1.4,2331,6.4,8.7,0.67,0.464
CUB,Cuba,1355,13.7,24.4,1.5,706,6.3,12.7,0.71,0.46
HUN,Hungary,979,13.4,19.5,1.3,471,4.8,9.4,0.54,0.358
BRA,Brazil,18986,13.2,17.6,1.3,9378,6.2,8.7,0.64,0.47
MNG,Mongolia,234,13.1,13.4,1.4,142,8.0,8.2,0.84,0.611
BGD,Bangladesh,11106,13.1,12.6,1.4,6557,7.8,7.4,0.84,0.595
CHN,China,144911,13.0,21.0,1.4,49543,3.9,7.2,0.44,0.3
NCL,New Caledonia,26,12.8,17.5,1.2,11,5.0,7.4,0.49,0.391
THA,Thailand,7469,12.6,20.3,1.4,3717,6.0,10.1,0.67,0.476
BLR,Belarus,871,12.4,18.0,1.2,371,4.4,7.7,0.46,0.355
,Total,603890,12.4,15.0,1.3,279432,5.5,6.9,0.61,0.444
VNM,Viet Nam,8274,12.3,16.1,1.4,4110,6.1,8.0,0.7,0.496
CHL,Chile,1905,12.0,19.2,1.2,843,5.1,8.5,0.53,0.425
LAO,Lao People's Democratic Republic,437,12.0,11.3,1.2,243,6.8,6.3,0.73,0.567
PRT,Portugal,932,11.8,17.1,1.1,443,3.4,8.1,0.35,0.288
BIH,Bosnia Herzegovina,284,11.8,17.1,1.2,152,4.6,9.2,0.52,0.39
SDN,Sudan,1711,11.5,6.7,1.4,1125,7.5,4.4,0.89,0.652
JPN,Japan,11057,11.3,17.5,1.1,3953,2.6,6.2,0.27,0.23
ARM,Armenia,274,11.1,17.2,1.2,98,3.7,6.2,0.41,0.333
PRK,"Korea, Democratic People's Republic of",2106,11.0,15.7,1.2,1281,6.6,9.6,0.72,0.6
NOR,Norway,390,10.9,14.1,1.0,138,2.3,5.0,0.23,0.211
