Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier
THA,Thailand,7469,12.6,20.3,1.4,3717,6.0,10.1,0.67,0.476,Thailand,2023.0,0.798,2.533696813957432,1.791759469228055,High
BLR,Belarus,871,12.4,18.0,1.2,371,4.4,7.7,0.46,0.355,Belarus,2023.0,0.824,2.517696472610991,1.4816045409242156,Very High
VNM,Viet Nam,8274,12.3,16.1,1.4,4110,6.1,8.0,0.7,0.496,Vietnam,2023.0,0.766,2.509599262378372,1.8082887711792655,High
CHL,Chile,1905,12.0,19.2,1.2,843,5.1,8.5,0.53,0.425,Chile,2023.0,0.878,2.4849066497880004,1.62924053973028,Very High
LAO,Lao People's Democratic Republic,437,12.0,11.3,1.2,243,6.8,6.3,0.73,0.567,Laos,2023.0,0.617,2.4849066497880004,1.916922612182061,Medium
PRT,Portugal,932,11.8,17.1,1.1,443,3.4,8.1,0.35,0.288,Portugal,2023.0,0.89,2.468099531471619,1.2237754316221157,Very High
BIH,Bosnia Herzegovina,284,11.8,17.1,1.2,152,4.6,9.2,0.52,0.39,Bosnia and Herzegovina,2023.0,0.804,2.468099531471619,1.5260563034950492,Very High
SDN,Sudan,1711,11.5,6.7,1.4,1125,7.5,4.4,0.89,0.652,Sudan,2023.0,0.511,2.4423470353692043,2.0149030205422647,Low
JPN,Japan,11057,11.3,17.5,1.1,3953,2.6,6.2,0.27,0.23,Japan,2023.0,0.925,2.424802725718295,0.9555114450274363,Very High
ARM,Armenia,274,11.1,17.2,1.2,98,3.7,6.2,0.41,0.333,Armenia,2023.0,0.811,2.4069451083182885,1.308332819650179,Very High
NOR,Norway,390,10.9,14.1,1.0,138,2.3,5.0,0.23,0.211,Norway,2023.0,0.97,2.388762789235098,0.8329091229351039,Very High
EST,Estonia,118,10.8,16.5,1.1,65,4.1,9.1,0.47,0.38,Estonia,2023.0,0.905,2.379546134130174,1.410986973710262,Very High
CRI,Costa Rica,347,10.6,13.4,0.97,172,4.7,6.6,0.49,0.443,Costa Rica,2023.0,0.833,2.3608540011180215,1.547562508716013,Very High
MUS,Mauritius,101,10.5,15.9,1.1,52,4.8,8.2,0.54,0.457,Mauritius,2023.0,0.806,2.3513752571634776,1.5686159179138452,Very High
LTU,Lithuania,279,10.5,18.5,1.1,181,5.9,12.0,0.67,0.562,Lithuania,2023.0,0.895,2.3513752571634776,1.7749523509116738,Very High
IND,India,79360,10.5,11.3,1.2,36319,4.9,5.2,0.57,0.467,India,2023.0,0.685,2.3513752571634776,1.589235205116581,Medium
MKD,North Macedonia,136,10.4,14.5,1.0,74,4.6,7.9,0.49,0.442,North Macedonia,2023.0,0.815,2.341805806147327,1.5260563034950492,Very High
NPL,Nepal,1532,10.3,9.9,1.1,879,6.0,5.7,0.66,0.583,Nepal,2023.0,0.622,2.33214389523559,1.791759469228055,Medium
MAR,Morocco,2228,10.2,11.8,1.2,1009,4.6,5.3,0.54,0.451,Morocco,2023.0,0.71,2.322387720290225,1.5260563034950492,High
KAZ,Kazakhstan,1256,10.2,11.9,1.0,681,5.4,6.5,0.57,0.529,Kazakhstan,2023.0,0.837,2.322387720290225,1.6863989535702288,Very High
MYS,Malaysia,1968,10.2,11.6,1.2,964,5.0,5.7,0.59,0.49,Malaysia,2023.0,0.819,2.322387720290225,1.6094379124341003,Very High
TJK,Tajikistan,447,10.1,8.3,1.0,244,5.7,4.5,0.59,0.564,Tajikistan,2023.0,0.691,2.312535423847214,1.7404661748405046,Medium
TKM,Turkmenistan,392,10.0,10.3,1.1,217,5.6,5.7,0.61,0.56,Turkmenistan,2023.0,0.764,2.302585092994046,1.7227665977411035,High
LKA,Sri Lanka,1735,9.8,14.6,1.2,1072,6.0,9.0,0.74,0.612,Sri Lanka,2023.0,0.776,2.2823823856765264,1.791759469228055,High
LBY,Libya,360,9.5,9.9,1.1,172,4.6,4.7,0.5,0.484,Libya,2023.0,0.721,2.2512917986064953,1.5260563034950492,High
POL,Poland,3318,9.4,16.7,1.0,1768,4.2,8.9,0.48,0.447,Poland,2023.0,0.906,2.2407096892759584,1.4350845252893227,Very High
ALB,Albania,164,8.7,11.6,0.88,83,3.9,5.9,0.44,0.448,Albania,2023.0,0.81,2.163323025660538,1.3609765531356006,Very High
DNK,Denmark,325,8.6,10.8,0.78,112,1.6,3.7,0.16,0.186,Denmark,2023.0,0.962,2.151762203259462,0.47000362924573563,Very High
KOR,"Korea, Republic of",3361,8.4,13.0,0.79,1063,1.8,4.1,0.17,0.214,South Korea,2023.0,0.937,2.128231705849268,0.5877866649021191,Very High
SGP,Singapore,343,8.2,12.2,0.85,113,2.3,4.0,0.25,0.28,Singapore,2023.0,0.946,2.1041341542702074,0.8329091229351039,Very High
HRV,Croatia,253,8.2,12.6,0.82,134,3.2,6.7,0.36,0.39,Croatia,2023.0,0.889,2.1041341542702074,1.1631508098056809,Very High
AZE,Azerbaijan,558,8.0,10.6,0.88,205,2.9,3.9,0.33,0.362,Azerbaijan,2023.0,0.789,2.0794415416798357,1.0647107369924282,High
SWE,Sweden,553,7.9,10.5,0.74,256,2.0,4.9,0.22,0.253,Sweden,2023.0,0.959,2.066862759472976,0.6931471805599453,Very High
GBR,United Kingdom,3309,7.6,9.4,0.68,1107,1.8,3.2,0.18,0.237,United Kingdom,2023.0,0.946,2.028148247292285,0.5877866649021191,Very High
DZA,Algeria,1792,7.6,7.8,0.88,833,3.5,3.6,0.42,0.461,Algeria,2023.0,0.763,2.028148247292285,1.252762968495368,High
NLD,The Netherlands,852,7.4,9.3,0.65,295,1.7,3.2,0.18,0.23,Netherlands,2023.0,0.955,2.0014800002101243,0.5306282510621704,Very High
IRL,Ireland,243,7.2,9.2,0.67,97,2.2,3.7,0.25,0.306,Ireland,2023.0,0.949,1.9740810260220096,0.7884573603642703,Very High
MDV,Maldives,14,7.2,7.0,0.88,7,3.9,3.5,0.51,0.542,Maldives,2023.0,0.766,1.9740810260220096,1.3609765531356006,High
CZE,Czechia,625,7.2,11.5,0.73,362,3.1,6.7,0.35,0.431,Czechia,2023.0,0.915,1.9740810260220096,1.1314021114911006,Very High
DEU,Germany,4773,7.2,11.2,0.71,2213,2.4,5.2,0.27,0.333,Germany,2023.0,0.959,1.9740810260220096,0.8754687373538999,Very High
ISL,Iceland,17,7.1,8.9,0.65,4,1.3,2.1,0.14,0.183,Iceland,2023.0,0.972,1.9600947840472698,0.26236426446749106,Very High
BEL,Belgium,599,6.9,10.1,0.69,234,1.9,3.9,0.2,0.275,Belgium,2023.0,0.951,1.9315214116032138,0.6418538861723947,Very High
WSM,Samoa,6,6.6,5.5,0.65,2,2.2,1.9,0.28,0.333,Samoa,2023.0,0.708,1.8870696490323797,0.7884573603642703,High
FRA,France (metropolitan),3326,6.6,9.7,0.65,1432,2.1,4.2,0.22,0.318,France,2023.0,0.92,1.8870696490323797,0.7419373447293773,Very High
CYP,Cyprus,67,6.6,9.9,0.66,27,2.2,4.0,0.22,0.333,Cyprus,2023.0,0.913,1.8870696490323797,0.7884573603642703,Very High
SVN,Slovenia,109,6.4,10.3,0.63,58,2.2,5.5,0.22,0.344,Slovenia,2023.0,0.931,1.8562979903656263,0.7884573603642703,Very High
AFG,Afghanistan,790,6.4,3.7,0.68,456,3.8,2.2,0.41,0.594,Afghanistan,2023.0,0.496,1.8562979903656263,1.33500106673234,Low
GRC,Greece,476,6.2,9.2,0.57,224,1.8,4.3,0.19,0.29,Greece,2023.0,0.908,1.824549292051046,0.5877866649021191,Very High
CAN,Canada,1596,6.0,8.0,0.56,551,1.6,2.8,0.17,0.267,Canada,2023.0,0.939,1.791759469228055,0.47000362924573563,Very High
USA,United States of America,13815,6.0,8.0,0.59,5037,1.8,2.9,0.19,0.3,United States,2023.0,0.938,1.791759469228055,0.5877866649021191,Very High
AUT,Austria,402,5.8,8.7,0.56,186,1.7,4.0,0.19,0.293,Austria,2023.0,0.93,1.7578579175523736,0.5306282510621704,Very High
ARE,United Arab Emirates,199,5.6,5.0,0.59,72,2.1,1.8,0.23,0.375,United Arab Emirates,2023.0,0.94,1.7227665977411035,0.7419373447293773,Very High
QAT,Qatar,37,5.6,4.2,0.71,13,2.0,1.5,0.29,0.357,Qatar,2023.0,0.886,1.7227665977411035,0.6931471805599453,Very High
ISR,Israel,301,5.4,6.4,0.56,116,1.7,2.5,0.19,0.315,Israel,2023.0,0.919,1.6863989535702288,0.5306282510621704,Very High
AUS,Australia,991,5.4,7.4,0.51,349,1.5,2.6,0.16,0.278,Australia,2023.0,0.958,1.6863989535702288,0.4054651081081644,Very High
OMN,Oman,77,5.2,3.9,0.61,27,2.0,1.4,0.25,0.385,Oman,2023.0,0.858,1.6486586255873816,0.6931471805599453,Very High
ITA,Italy,2585,5.1,8.5,0.51,1165,1.8,3.8,0.19,0.353,Italy,2023.0,0.915,1.62924053973028,0.5877866649021191,Very High
ESP,Spain,1971,4.9,8.1,0.48,893,1.7,3.7,0.18,0.347,Spain,2023.0,0.918,1.589235205116581,0.5306282510621704,Very High
LUX,Luxembourg,25,4.8,7.5,0.53,9,1.4,2.7,0.18,0.292,Luxembourg,2023.0,0.922,1.5686159179138452,0.3364722366212129,Very High
JOR,Jordan,228,4.8,4.1,0.54,74,1.7,1.3,0.21,0.354,Jordan,2023.0,0.754,1.5686159179138452,0.5306282510621704,High
NZL,New Zealand,152,4.7,5.8,0.42,68,1.5,2.6,0.15,0.319,New Zealand,2023.0,0.938,1.547562508716013,0.4054651081081644,Very High
TUR,Türkiye,2577,4.5,5.9,0.49,1003,1.7,2.3,0.2,0.378,Turkey,2023.0,0.853,1.5040773967762742,0.5306282510621704,Very High
LBN,Lebanon,159,4.4,5.3,0.49,61,1.6,2.1,0.19,0.364,Lebanon,2023.0,0.752,1.4816045409242156,0.47000362924573563,High
FIN,Finland,155,4.3,5.5,0.38,66,1.2,2.3,0.13,0.279,Finland,2023.0,0.948,1.4586150226995167,0.1823215567939546,Very High
TUN,Tunisia,334,4.1,5.4,0.46,155,1.9,2.5,0.22,0.463,Tunisia,2023.0,0.746,1.410986973710262,0.6418538861723947,High
KWT,Kuwait,89,3.9,4.6,0.39,30,1.4,1.6,0.15,0.359,Kuwait,2023.0,0.852,1.3609765531356006,0.3364722366212129,Very High
CHE,Switzerland,256,3.6,5.7,0.36,109,1.1,2.4,0.11,0.306,Switzerland,2023.0,0.97,1.2809338454620642,0.09531017980432493,Very High
SYR,Syrian Arab Republic,346,3.4,2.8,0.38,213,2.1,1.7,0.24,0.618,Syria,2023.0,0.564,1.2237754316221157,0.7419373447293773,Medium
PSE,Gaza Strip and West Bank,71,3.4,2.6,0.33,24,1.2,0.87,0.13,0.353,Palestine,2023.0,0.674,1.2237754316221157,0.1823215567939546,Medium
MLT,Malta,13,3.3,5.0,0.32,5,1.2,1.9,0.13,0.364,Malta,2023.0,0.924,1.1939224684724346,0.1823215567939546,Very High
PAK,Pakistan,2722,3.0,2.2,0.34,1640,1.8,1.3,0.21,0.6,Pakistan,2023.0,0.544,1.0986122886681098,0.5877866649021191,Low
