code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier,HPV_vax_coverage,GNI_per_capita,Screening_program,Screening_program_bin,logGNI,Smoking_prev_female,HIV_prev,Death_reg_pct
GBR,United Kingdom,3309,7.6,9.4,0.68,1107,1.8,3.2,0.18,0.237,United Kingdom,2023.0,0.946,2.028148247292285,0.5877866649021191,Very High,78.0,54371.586,Yes,1.0,10.903596980212953,12.2,0.19031,99.64
DZA,Algeria,1792,7.6,7.8,0.88,833,3.5,3.6,0.42,0.461,Algeria,2023.0,0.763,2.028148247292285,1.252762968495368,High,0.0,15114.172,Yes,1.0,9.62338812569323,0.6,0.09717,91.5
NLD,The Netherlands,852,7.4,9.3,0.65,295,1.7,3.2,0.18,0.23,Netherlands,2023.0,0.955,2.0014800002101243,0.5306282510621704,Very High,65.0,68344.305,Yes,1.0,11.132313517539512,18.9,0.14872,99.506
IRL,Ireland,243,7.2,9.2,0.67,97,2.2,3.7,0.25,0.306,Ireland,2023.0,0.949,1.9740810260220096,0.7884573603642703,Very High,74.0,90884.63,Yes,1.0,11.417346178960075,16.4,0.22399,99.688
MDV,Maldives,14,7.2,7.0,0.88,7,3.9,3.5,0.51,0.542,Maldives,2023.0,0.766,1.9740810260220096,1.3609765531356006,High,66.0,19317.318,Yes,1.0,9.868757278254362,10.1,0.01679,87.42999999999999
CZE,Czechia,625,7.2,11.5,0.73,362,3.1,6.7,0.35,0.431,Czechia,2023.0,0.915,1.9740810260220096,1.1314021114911006,Very High,69.0,45889.016,Yes,1.0,10.7339810645789,24.8,,99.184
DEU,Germany,4773,7.2,11.2,0.71,2213,2.4,5.2,0.27,0.333,Germany,2023.0,0.959,1.9740810260220096,0.8754687373538999,Very High,55.0,64053.223,Yes,1.0,11.06746962612132,20.4,0.15825,99.49199999999999
ISL,Iceland,17,7.1,8.9,0.65,4,1.3,2.1,0.14,0.183,Iceland,2023.0,0.972,1.9600947840472696,0.262364264467491,Very High,93.0,69116.94,Yes,1.0,11.143555131664622,9.9,0.11973,99.772
BEL,Belgium,599,6.9,10.1,0.69,234,1.9,3.9,0.2,0.275,Belgium,2023.0,0.951,1.9315214116032136,0.6418538861723947,Very High,72.0,63582.477,Yes,1.0,11.060093192497993,20.9,0.19906,98.45
WSM,Samoa,6,6.6,5.5,0.65,2,2.2,1.9,0.28,0.333,Samoa,2023.0,0.708,1.88706964903238,0.7884573603642703,High,87.0,5952.017,No,0.0,8.691485432691644,14.4,,94.19800000000001
FRA,France (metropolitan),3326,6.6,9.7,0.65,1432,2.1,4.2,0.22,0.318,France,2023.0,0.92,1.88706964903238,0.7419373447293773,Very High,45.0,55060.16,Yes,1.0,10.91618168461319,31.1,0.28482,99.89
CYP,Cyprus,67,6.6,9.9,0.66,27,2.2,4.0,0.22,0.333,Cyprus,2023.0,0.913,1.88706964903238,0.7884573603642703,Very High,67.0,45394.156,No,0.0,10.723138653277031,19.0,,77.624
SVN,Slovenia,109,6.4,10.3,0.63,58,2.2,5.5,0.22,0.344,Slovenia,2023.0,0.931,1.8562979903656265,0.7884573603642703,Very High,61.0,46360.81,Yes,1.0,10.74420976925964,20.6,0.07996,99.704
AFG,Afghanistan,790,6.4,3.7,0.68,456,3.8,2.2,0.41,0.594,Afghanistan,2023.0,0.496,1.8562979903656265,1.33500106673234,Low,0.0,1971.5494,No,0.0,7.586575010066909,6.8,0.05556,7.8774999999999995
GRC,Greece,476,6.2,9.2,0.57,224,1.8,4.3,0.19,0.29,Greece,2023.0,0.908,1.824549292051046,0.5877866649021191,Very High,0.0,35760.75,Yes,1.0,10.48460620222188,27.3,0.26963,99.508
CAN,Canada,1596,6.0,8.0,0.56,551,1.6,2.8,0.17,0.267,Canada,2023.0,0.939,1.791759469228055,0.4700036292457356,Very High,86.0,54688.418,Yes,1.0,10.909407229244795,9.5,0.14755,100.0
USA,United States of America,13815,6.0,8.0,0.59,5037,1.8,2.9,0.19,0.3,United States,2023.0,0.938,1.791759469228055,0.5877866649021191,Very High,65.0,73650.03,Yes,1.0,11.20707982922267,12.5,,99.44800000000001
AUT,Austria,402,5.8,8.7,0.56,186,1.7,4.0,0.19,0.293,Austria,2023.0,0.93,1.7578579175523736,0.5306282510621704,Very High,63.0,63479.207,Yes,1.0,11.058467682438817,24.9,,97.992
ARE,United Arab Emirates,199,5.6,5.0,0.59,72,2.1,1.8,0.23,0.375,United Arab Emirates,2023.0,0.94,1.7227665977411035,0.7419373447293773,Very High,37.0,71142.305,Yes,1.0,11.172437445877184,2.7,0.01497,43.37
QAT,Qatar,37,5.6,4.2,0.71,13,2.0,1.5,0.29,0.357,Qatar,2023.0,0.886,1.7227665977411035,0.6931471805599453,Very High,0.0,105353.266,Yes,1.0,11.565074420175629,3.4,0.03818,64.48400000000001
ISR,Israel,301,5.4,6.4,0.56,116,1.7,2.5,0.19,0.315,Israel,2023.0,0.919,1.6863989535702288,0.5306282510621704,Very High,55.0,48050.113,Yes,1.0,10.779999766112637,14.4,,99.66799999999999
AUS,Australia,991,5.4,7.4,0.51,349,1.5,2.6,0.16,0.278,Australia,2023.0,0.958,1.6863989535702288,0.4054651081081644,Very High,83.0,58276.875,Yes,1.0,10.972960638418527,10.6,0.10097,99.324
OMN,Oman,77,5.2,3.9,0.61,27,2.0,1.4,0.25,0.385,Oman,2023.0,0.858,1.6486586255873816,0.6931471805599453,Very High,0.0,36096.043,No,0.0,10.49393852612475,0.4,0.07865,66.65
ITA,Italy,2585,5.1,8.5,0.51,1165,1.8,3.8,0.19,0.353,Italy,2023.0,0.915,1.62924053973028,0.5877866649021191,Very High,55.0,52388.883,Yes,1.0,10.866449691312212,19.3,0.25081,100.0
ESP,Spain,1971,4.9,8.1,0.48,893,1.7,3.7,0.18,0.347,Spain,2023.0,0.918,1.589235205116581,0.5306282510621704,Very High,85.0,46008.44,Yes,1.0,10.736580136902024,26.4,0.28375,99.624
LUX,Luxembourg,25,4.8,7.5,0.53,9,1.4,2.7,0.18,0.292,Luxembourg,2023.0,0.922,1.5686159179138452,0.3364722366212129,Very High,82.0,85461.25,Yes,1.0,11.355818335817,23.4,0.28208,100.0
JOR,Jordan,228,4.8,4.1,0.54,74,1.7,1.3,0.21,0.354,Jordan,2023.0,0.754,1.5686159179138452,0.5306282510621704,High,0.0,9221.872,No,0.0,9.1293333328178,12.9,0.00861,92.65
NZL,New Zealand,152,4.7,5.8,0.42,68,1.5,2.6,0.15,0.319,New Zealand,2023.0,0.938,1.547562508716013,0.4054651081081644,Very High,54.0,47259.6,Yes,1.0,10.7634110868879,9.3,0.08455,99.944
TUR,Türkiye,2577,4.5,5.9,0.49,1003,1.7,2.3,0.2,0.378,Turkey,2023.0,0.853,1.5040773967762742,0.5306282510621704,Very High,0.0,34506.98,Yes,1.0,10.448916901396334,19.6,,99.4
LBN,Lebanon,159,4.4,5.3,0.49,61,1.6,2.1,0.19,0.364,Lebanon,2023.0,0.752,1.4816045409242156,0.4700036292457356,High,0.0,11298.888,Yes,1.0,9.332459592778491,38.9,0.07959,76.99199999999999
FIN,Finland,155,4.3,5.5,0.38,66,1.2,2.3,0.13,0.279,Finland,2023.0,0.948,1.4586150226995167,0.1823215567939546,Very High,73.0,57067.637,Yes,1.0,10.951992457381785,18.2,,99.212
TUN,Tunisia,334,4.1,5.4,0.46,155,1.9,2.5,0.22,0.463,Tunisia,2023.0,0.746,1.410986973710262,0.6418538861723947,High,0.0,12011.388,Yes,1.0,9.393610478754326,2.3,0.10251,100.0
KWT,Kuwait,89,3.9,4.6,0.39,30,1.4,1.6,0.15,0.359,Kuwait,2023.0,0.852,1.3609765531356006,0.3364722366212129,Very High,0.0,56612.047,No,0.0,10.94397708606606,2.5,0.04602,83.404
CHE,Switzerland,256,3.6,5.7,0.36,109,1.1,2.4,0.11,0.306,Switzerland,2023.0,0.97,1.2809338454620642,0.0953101798043249,Very High,70.0,81948.9,Yes,1.0,11.313851161263097,22.4,0.16907,98.58399999999999
MLT,Malta,13,3.3,5.0,0.32,5,1.2,1.9,0.13,0.364,Malta,2023.0,0.924,1.1939224684724346,0.1823215567939546,Very High,80.0,52155.074,Yes,1.0,10.86197675195673,23.1,0.29548,99.018
PAK,Pakistan,2722,3.0,2.2,0.34,1640,1.8,1.3,0.21,0.6,Pakistan,2023.0,0.544,1.0986122886681098,0.5877866649021191,Low,0.0,5501.133,No,0.0,8.612709350005476,6.9,0.23764,49.28
IRQ,Iraq,496,3.0,2.2,0.35,303,1.9,1.3,0.22,0.633,Iraq,2023.0,0.695,1.0986122886681098,0.6418538861723947,Medium,0.0,12653.524,No,0.0,9.445691032435375,2.4,0.01218,78.91499999999999
BHR,Bahrain,20,2.8,3.3,0.3,6,0.9,0.98,0.1,0.321,Bahrain,2023.0,0.899,1.029619417181158,-0.1053605156578262,Very High,0.0,52818.797,Yes,1.0,10.87462241012792,5.9,0.05583,81.572
EGY,Egypt,1251,2.4,2.2,0.29,578,1.1,1.0,0.14,0.458,Egypt,2023.0,0.754,0.8754687373538999,0.0953101798043249,High,0.0,16218.135,No,0.0,9.693885339554209,0.4,0.07754,99.324
IRN,"Iran, Islamic Republic of",1344,2.4,3.0,0.25,761,1.4,1.7,0.15,0.583,Iran,2023.0,0.799,0.8754687373538999,0.3364722366212129,High,0.0,16095.771,Yes,1.0,9.686311845661082,1.6,0.06397,97.24600000000001
SAU,Saudi Arabia,183,1.8,1.4,0.21,65,0.67,0.48,0.08,0.372,Saudi Arabia,2023.0,0.9,0.5877866649021191,-0.4004775665971252,Very High,0.0,50298.914,No,0.0,10.825738765397496,3.6,0.04504,65.19666666666667
