code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier,HPV_vax_coverage,GNI_per_capita,Screening_program,Screening_program_bin,logGNI,Smoking_prev_female,HIV_prev,Death_reg_pct
MRT,Mauritania,390,24.7,14.8,2.8,239,15.4,9.1,1.8,0.623,Mauritania,2023.0,0.563,3.2068032436339315,2.734367509419584,Medium,26.0,6267.4707,No,0.0,8.74312815511127,2.7,0.13952,11.6175
TGO,Togo,746,24.4,15.8,2.7,452,15.1,9.6,1.7,0.619,Togo,2023.0,0.571,3.194583132299156,2.714694743820879,Medium,45.0,2855.9639,No,0.0,7.957164683323566,1.0,1.63841,12.888
KEN,Kenya,4294,24.0,15.1,2.8,2606,14.9,9.2,1.7,0.621,Kenya,2023.0,0.628,3.1780538303479458,2.7013612129514133,Medium,17.0,5608.296,Yes,1.0,8.63200220906189,2.6,3.0294228,61.408
JAM,Jamaica,438,23.8,30.5,2.4,237,12.7,16.5,1.4,0.534,Jamaica,2023.0,0.72,3.169685580677429,2.5416019934645457,High,2.0,10056.985,Yes,1.0,9.21602269694491,4.7,1.13844,100.0
PER,Peru,4814,23.7,28.0,2.5,2405,11.4,14.0,1.2,0.481,Peru,2023.0,0.794,3.1654750481410856,2.4336133554004498,High,99.0,14338.71,Yes,1.0,9.570718151948135,3.2,0.44828,94.78333333333335
ROU,Romania,3666,23.5,37.4,2.5,1828,9.7,18.6,1.1,0.413,Romania,2023.0,0.845,3.157000421150113,2.272125885509337,Very High,23.0,39374.254,Yes,1.0,10.58086742991671,21.4,0.15511,99.93199999999999
BHS,Bahamas,68,23.2,32.4,2.3,32,10.1,15.3,1.1,0.435,Bahamas,2023.0,0.82,3.1441522786722644,2.312535423847214,Very High,3.0,30974.682,No,0.0,10.340925440100818,3.5,1.05703,93.082
HTI,Haiti,1091,21.5,18.3,2.2,659,13.0,11.1,1.4,0.605,Haiti,2023.0,0.554,3.068052935133617,2.5649493574615367,Medium,0.0,2934.9258,Yes,1.0,7.984437450852335,2.6,1.64909,
BLZ,Belize,41,21.0,19.8,2.1,25,13.4,12.1,1.3,0.638,Belize,2023.0,0.721,3.044522437723423,2.5952547069568657,High,67.0,12343.078,Yes,1.0,9.420850699095263,2.0,1.16604,100.0
ETH,Ethiopia,8159,20.2,12.4,2.4,5007,12.6,7.6,1.5,0.624,Ethiopia,2023.0,0.497,3.005682604407159,2.533696813957432,Low,29.0,2795.507,Yes,1.0,7.935768764487889,1.5,0.6749597,
MDA,Republic of Moldova,440,19.9,26.9,1.9,177,6.6,10.8,0.7,0.332,Moldova,2023.0,0.785,2.990719731730447,1.88706964903238,High,34.0,15866.542,Yes,1.0,9.671967894377676,6.8,0.91915935,96.41799999999999
NGA,Nigeria,12312,19.1,10.7,2.2,7599,12.0,6.6,1.4,0.628,Nigeria,2023.0,0.56,2.9496883350525844,2.4849066497880004,Medium,30.0,5569.375,No,0.0,8.625038118366984,0.5,1.15986,0.8800000000000001
BTN,Bhutan,75,19.0,20.4,2.0,46,11.7,12.5,1.2,0.616,Bhutan,2023.0,0.698,2.9444389791664403,2.4595888418037104,Medium,92.0,13842.804,Yes,1.0,9.535520809806888,11.9,0.16986,69.68
VUT,Vanuatu,25,18.9,15.4,2.0,18,14.7,11.1,1.9,0.778,Vanuatu,2023.0,0.621,2.9391619220655967,2.6878474937846906,Medium,0.0,3403.6902,Yes,1.0,8.132615474975758,8.5,,10.6175
SLV,El Salvador,779,18.9,23.4,1.9,462,11.2,13.9,1.1,0.593,El Salvador,2023.0,0.678,2.9391619220655967,2.4159137783010487,Medium,0.0,10594.842,Yes,1.0,9.268122557896536,2.3,0.41596,100.0
NER,Niger,1246,18.7,9.4,2.0,755,11.5,5.7,1.3,0.615,Niger,2023.0,0.419,2.928523523860541,2.4423470353692043,Low,0.0,1590.188,No,0.0,7.371607527218309,1.2,0.15039,4.364
IDN,Indonesia,31116,18.6,22.1,2.1,15612,9.3,11.1,1.1,0.5,Indonesia,2023.0,0.728,2.923161580719156,2.2300144001592104,High,4.0,13700.13,Yes,1.0,9.525160600822293,3.0,0.35506,37.938
BFA,Burkina Faso,1274,18.5,10.8,2.2,776,11.5,6.6,1.4,0.622,Burkina Faso,2023.0,0.459,2.917770732084279,2.4423470353692043,Low,0.0,2390.5278,Yes,1.0,7.779269457364779,5.1,0.52056,13.21
LCA,Saint Lucia,23,18.4,25.3,1.8,11,8.3,12.1,0.96,0.451,Saint Lucia,2023.0,0.748,2.91235066461494,2.1162555148025524,High,52.0,20899.781,Yes,1.0,9.947493959429105,3.1,0.44678,91.916
ECU,Ecuador,1967,17.9,21.6,1.8,991,9.0,10.9,0.92,0.503,Ecuador,2023.0,0.777,2.884800712846709,2.19722457733622,High,72.0,13986.397,Yes,1.0,9.545840493389337,2.7,0.41954,83.876
RUS,Russian Federation,18837,17.8,24.3,1.7,6499,5.1,8.4,0.54,0.287,Russia,2023.0,0.832,2.87919845729804,1.62924053973028,Very High,0.0,39221.684,Yes,1.0,10.57698503610546,18.7,,100.0
